"Quote","Author"
"Do what you feel in your heart to be right—for you’ll be criticized anyway.","Eleanor Roosevelt"
"A year from now you may wish you had started today.","Karen Lamb"
"Don’t count the days, make the days count.","Muhammad Ali"
"Believe you can and you're halfway there.","Theodore Roosevelt"
"What lies behind us and what lies before us are tiny matters compared to what lies within us.","Ralph Waldo Emerson"
"You can waste your lives drawing lines. Or you can live your life crossing them.","Shonda Rhimes"
"It's not whether you get knocked down, it's whether you get up.","Vince Lombardi"
"Difficulties in life are intended to make us better, not bitter.","Dan Reeves"
"Hardships often prepare ordinary people for an extraordinary destiny.","C.S. Lewis"
"If everything seems under control, you’re not going fast enough.","Mario Andretti"
"Success is not in what you have, but who you are.","Bo Bennett"
"We are what we repeatedly do. Excellence, then, is not an act, but a habit.","Aristotle"
"Start where you are. Use what you have. Do what you can.","Arthur Ashe"
"Small deeds done are better than great deeds planned.","Peter Marshall"
"Don’t be pushed around by the fears in your mind. Be led by the dreams in your heart.","Roy T. Bennett"
"Doubt is a killer. You just have to know who you are and what you stand for.","Jennifer Lopez"
"Discipline is choosing between what you want now and what you want most.","Abraham Lincoln (attributed)"
"The road to success is dotted with many tempting parking spaces.","Will Rogers"
"A little progress each day adds up to big results.","Satya Nani"
"The struggle you’re in today is developing the strength you need for tomorrow.","Robert Tew"
